Board,Meyer Cost (ex VAT),Cost +15% (ex VAT),Current Selling Price (ex VAT),Difference,Margin %,Notes
Egger MFC 18mm,,,,,,
Group 2 - W980,£36.60,—,£54.00,—,—,Kept at current price (locked)
Group 3,£50.30,£57.85,£64.00,+£6.15,27.2%,
Group 4,£54.25,£62.39,£68.00,+£5.61,25.3%,
Group 5,£61.50,£70.73,£75.00,+£4.28,22.0%,
Group 6,£65.90,£75.79,£80.00,+£4.22,21.4%,
Group 7,£67.90,£78.09,£82.00,+£3.92,20.8%,
Group 8,£69.70,£80.16,£84.00,+£3.85,20.5%,
Group 9,£74.80,£86.02,£91.00,+£4.98,21.7%,
Group 10,£79.95,£91.94,£96.00,+£4.06,20.1%,
Egger PS / TM,,,,,,
PS Matt 19mm,£149.99,£172.49,£194.00,+£21.51,29.3%,
PS Gloss 19mm,£140.00,£161.00,£182.00,+£21.00,30.0%,
TM / TM12,£91.30,£104.99,£120.00,+£15.01,31.4%,
TM28,£107.40,£123.51,£139.00,+£15.49,29.4%,
